Demonstrativo do Orçamento OCA 3º Quadrimestre 2016;;;;;;;;;;;;;;;;;;;
Eixo;Nome;Sub eixo;Nome;classif03;Função;Nome;Sub função;Nome;programa;Nome;Ação;Nome;Sub ação;Nome;indice_proporcionalidade; Orçado ; Empenhado ; Liquidado  ; Pago 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2106;Gestão da Política de Esporte e Lazer;4;Centro de Memória do Esporte e do Lazer da Cidade;0,25; 1.250,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;1;Programa Segundo Tempo;1; 4.513.000,00 ; 5.763.099,87 ; 5.744.614,14 ; 5.712.997,21 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;4;Programa Esporte Esperança / BH Cidadania;1; 442.000,00 ; 516.832,69 ; 503.192,79 ; 503.192,79 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;12;Festival de Atletismo;1; 45.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;1;Manutenção, Conservação, Pequenas Reformas e Custeio de Equipamentos Esportivos;0,25; 1.701.500,00 ; 1.028.332,59 ; 925.121,66 ; 908.378,91 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2545;Promoções e Eventos Esportivos e Gestão de Áreas de Lazer;1;Promoções e Eventos Esportivos e Gestão de Áreas de Lazer;0,5; 1.367.000,00 ; 661.828,25 ; 661.828,25 ; 661.828,25 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2757;Programas e Atividades  Esportivas;1;Programas Esportivos Sociais e Atividades de Lazer Comunitárias;0,5; 2.482.500,00 ; 2.168.838,19 ; 2.168.838,19 ; 2.168.838,19 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;1213;Construção, Ampliação e Reforma de Equipamentos Esportivos e Áreas de Lazer;1;Construção, Ampliação e Reforma de Equipamentos Esportivos e Áreas de Lazer;0,25; 6.611.617,00 ; 599.982,98 ; 573.486,93 ; 565.721,89 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2531;Programas de Esporte Educacional;6;Programa de Atletismo;1; 101.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;5;Ampliação do Programa Academias a Céu Aberto ;0,25; 500.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;6;Manutenção e Custeio das Academias a Céu Aberto;0,25; 11.250,00 ; 5.532,52 ; 5.532,52 ; 5.532,52 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;1;Superar Educacional / BH Cidadania;1; 680.000,00 ; 95.603,94 ; 85.123,84 ; 85.123,84 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;5;Incentivo ao Esporte da Pessoa com Deficiência;0,25; 250.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;6;Participação de atleta com deficiência em competições paradesportivas;0,25; 50.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;1;Programas e Atividades de Lazer;0,85; 2.105.450,00 ; 1.813.587,41 ; 1.813.587,41 ; 1.813.587,41 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;3;Recrear;1; 457.000,00 ; 30.200,16 ; 30.200,16 ; 30.200,16 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;10;Promoção de Eventos de Lazer;0,25; 98.750,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;2;Caminhar / BH Cidadania;0,25; 106.250,00 ; 39.789,92 ; 39.789,92 ; 39.789,92 
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;5;Domingo a Rua é Nossa;0,25; 25.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;8;Brincando na Vila;1; 87.000,00 ; -   ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;4;Administração;122;Administração Geral;227;Orçamento Participativo e Gestão Compartilhada;2334;Gestão Compartilhada e Participação Social;11;Implantação do Orçamento Participativo Criança e Adolescente - OPCA nas Escolas Municipais;1; -   ; 3.160,00 ; -   ; -   
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;1;Gerenciamento da Assistência Alimentar e Nutricional às Escolas de Ensino Fundamental ;1; 9.425.400,00 ; 7.415.628,69 ; 5.984.611,56 ; 5.664.002,80 
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;2;Gerenciamento da Assistência Alimentar e Nutricional às UMEIS;1; 6.800.000,00 ; 7.966.434,48 ; 6.710.681,96 ; 5.993.962,52 
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;3;Gerenciamento da Assistência Alimentar e Nutricional às Escolas Integradas;1; 6.624.920,00 ; 10.607.301,79 ; 9.165.871,73 ; 8.507.481,66 
