Demonstrativo do Orçamento OCA 2º Quadrimestre 2016;;;;;;;;;;;;;;;;;;;;;;;
Eixo;Nome;Sub eixo;Nome;classif03;Função;Nome;Sub função;Nome;programa;Nome;Ação;Nome;Sub ação;Nome;indice_proporcionalidade;valor_credito_inicial;Orçado;valor_empenhado;valor_liquidado;valor_pago;Empenhado;Liquidado ;Pago
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;2;Caminhar / BH Cidadania;0.25;0;106,250.00;637.50;637.50;637.50;637.50;637.50;637.50
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;5;Domingo a Rua é Nossa;0.25;0;25,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;813;Lazer;238;Promoção do Esporte e do Lazer;2869;Programas e Atividades de Lazer;8;Brincando na Vila;1;0;87,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;1;Gerenciamento da Assistência Alimentar e Nutricional às Escolas de Ensino Fundamental ;1;0;9,425,400.00;3,341,543.89;2,468,443.29;2,448,924.54;5,553,379.53;3,356,038.16;3,072,082.41
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;2;Gerenciamento da Assistência Alimentar e Nutricional às UMEIS;1;0;6,800,000.00;3,216,716.05;2,484,356.72;2,495,188.01;5,728,006.85;3,495,251.98;3,101,949.02
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;3;Gerenciamento da Assistência Alimentar e Nutricional às Escolas Integradas;1;0;6,624,920.00;3,843,272.47;2,857,911.53;3,174,840.34;7,602,537.97;4,664,771.72;4,411,951.50
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;4;Gerenciamento da Assistência Alimentar e Nutricional aos alunos do Ensino de Jovens e Adultos - EJA;1;0;1,021,980.00;391,775.02;297,285.76;345,146.23;766,798.32;469,977.52;453,263.88
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;8;Gerenciamento da Assistência Alimentar e Nutricional às Creches Conveniadas;1;0;4,428,600.00;2,725,297.50;1,406,674.07;1,484,751.66;3,795,292.50;1,814,798.07;1,664,870.66
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;132;Gestão da Política Municipal de Segurança Alimentar e Nutricional;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;10;Gerenciamento da Assistência Alimentar e Nutricional à Rede Municipal;1;0;3,323,500.00;883,250.03;1,164,550.26;1,057,105.74;2,102,186.65;1,802,235.25;1,601,301.96
AEQ;EIXO: Acesso à Educação de Qualidade;EDU;SUB-EIXO: Educação;EX;8;Assistência Social;306;Alimentação e Nutrição;207;Melhoria da Qualidade da Educação;2761;Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino;6;Atendimento das Demandas de Dietas Especiais;1;0;30,000.00;0.00;0.00;0.00;0.00;0.00;0.00
